column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
user_id,INT64,3
mailing_id,INT64,4
action_id,INT64,5
bounce_class,INT64,6
utc_created_at,TIMESTAMP,7
source_schema,STRING,8
source_table,STRING,9
vendor,STRING,10
vendor_unique_bounce_soft_id,STRING,11
data_owner_id,INT64,12
data_owner_code,STRING,13
