column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
hidden,BOOL,5
is_default,BOOL,6
name,STRING,7
template,STRING,8
text_template,STRING,9
unsubscribe_text,STRING,10
unsubscribe_html,STRING,11
lang_id,INT64,12
amp_template,STRING,13
unsubscribe_amp_html,STRING,14
source_schema,STRING,15
source_table,STRING,16
vendor,STRING,17
vendor_unique_emailwrapper_id,STRING,18
data_owner_id,INT64,19
data_owner_code,STRING,20
