column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
hidden,BOOL,5
name,STRING,6
iso_code,STRING,7
inherit_from_id,INT64,8
ordering,INT64,9
translations,STRING,10
source_schema,STRING,11
source_table,STRING,12
vendor,STRING,13
segment_by_key,STRING,14
vendor_unique_core_language_id,STRING,15
data_owner_id,INT64,16
data_owner_code,STRING,17
