column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
name,STRING,5
description,STRING,6
subscribed,BOOL,7
source_schema,STRING,8
source_table,STRING,9
vendor,STRING,10
vendor_unique_subscriptionchangetype_id,STRING,11
data_owner_id,INT64,12
data_owner_code,STRING,13
